Plant.Common.Name,Plant.Order,Plant.Family,Plant.Genus,Plant.Species,Insect.Common.Name,Insect.Order,Insect.Family,Insect.Genus,Insect.Species,URL,Park.Name,Insect_ID,Plant_ID,Interaction.ID,Habitat.Type,Habitat.Category,Park.Type,subfamily,superfamily
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,Markham,Halictus poeyi,Spermacoce verticillata,Spermacoce verticillata | Halictus poeyi,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Markham,Apis mellifera,Spermacoce verticillata,Spermacoce verticillata | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Chrysanthrax cypris,Diptera,Bombyliidae,Chrysanthrax,cypris,,Markham,Chrysanthrax cypris,Bidens alba,Bidens alba | Chrysanthrax cypris,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,Markham,Pyrausta tyralis,Spermacoce verticillata,Spermacoce verticillata | Pyrausta tyralis,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Fiery Skipper,Lepidoptera,Hesperiidae,Hylephila,phyleus,,Markham,Hylephila phyleus,Bidens alba,Bidens alba | Hylephila phyleus,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,Markham,Halictus poeyi,Phyla nodiflora,Phyla nodiflora | Halictus poeyi,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Stained-glass Moth,Lepidoptera,Crambidae,Samea,castellalis,,Markham,Samea castellalis,Bidens alba,Bidens alba | Samea castellalis,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Great Southern White,Lepidoptera,Pieridae,Ascia,monuste,,Markham,Ascia monuste,Bidens alba,Bidens alba | Ascia monuste,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Great Southern White,Lepidoptera,Pieridae,Ascia,monuste,,Markham,Ascia monuste,Richardia grandiflora,Richardia grandiflora | Ascia monuste,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Markham,Apis mellifera,Spermacoce verticillata,Spermacoce verticillata | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,CB Smith,Nathalis iole,Bidens alba,Bidens alba | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,CB Smith,Nathalis iole,Spermacoce verticillata,Spermacoce verticillata | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Fiery Skipper,Lepidoptera,Hesperiidae,Hylephila,phyleus,,CB Smith,Hylephila phyleus,Bidens alba,Bidens alba | Hylephila phyleus,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,CB Smith,Pyrausta tyralis,Bidens alba,Bidens alba | Pyrausta tyralis,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,CB Smith,Apis mellifera,Spermacoce verticillata,Spermacoce verticillata | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,CB Smith,Nathalis iole,Spermacoce verticillata,Spermacoce verticillata | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,CB Smith,Apis mellifera,Bidens alba,Bidens alba | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,CB Smith,Nathalis iole,Bidens alba,Bidens alba | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,CB Smith,Nathalis iole,Bidens alba,Bidens alba | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,CB Smith,Apis mellifera,Bidens alba,Bidens alba | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Chrysanthrax cypris,Diptera,Bombyliidae,Chrysanthrax,cypris,,CB Smith,Chrysanthrax cypris,Spermacoce verticillata,Spermacoce verticillata | Chrysanthrax cypris,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Orange-spotted Flower Moth,Lepidoptera,Crambidae,Syngamia,florella,,Long Key,Syngamia florella,Richardia grandiflora,Richardia grandiflora | Syngamia florella,Open Grassy,Open Human Disturbed,Low human modification,NA,NA
Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Gulf Fritillary,Lepidoptera,Nymphalidae,Dione ,vanillae,,Long Key,Dione  vanillae,Richardia grandiflora,Richardia grandiflora | Dione  vanillae,Open Grassy,Open Human Disturbed,Low human modification,NA,NA
Knotroot Bristlegrass,Poales,Poaceae,Setaria,parviflora,Yellow-legged Mud-dauber Wasp,Hymenoptera,Sphecidae,Sceliphron,caementarium,https://www.inaturalist.org/taxa/121821-Sceliphron-caementarium,Long Key,Sceliphron caementarium,Setaria parviflora,Setaria parviflora | Sceliphron caementarium,Open Grassy,Open Human Disturbed,Low human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Yellow-legged Mud-dauber Wasp,Hymenoptera,Sphecidae,Sceliphron,caementarium,https://www.inaturalist.org/taxa/121821-Sceliphron-caementarium,Long Key,Sceliphron caementarium,Spermacoce verticillata,Spermacoce verticillata | Sceliphron caementarium,Open Grassy,Open Human Disturbed,Low human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Yellow-legged Mud-dauber Wasp,Hymenoptera,Sphecidae,Sceliphron,caementarium,https://www.inaturalist.org/taxa/121821-Sceliphron-caementarium,Long Key,Sceliphron caementarium,Bidens alba,Bidens alba | Sceliphron caementarium,Open Grassy,Open Human Disturbed,Low human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Ammophila pictipennis,Hymenoptera,Sphecidae,Ammophila,pictipennis,https://www.inaturalist.org/observations/283008584,Long Key,Ammophila pictipennis,Spermacoce verticillata,Spermacoce verticillata | Ammophila pictipennis,Open Grassy,Open Human Disturbed,Low human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,Vista View,Pyrausta tyralis,Bidens alba,Bidens alba | Pyrausta tyralis,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Vista View,Apis mellifera,Spermacoce verticillata,Spermacoce verticillata | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Vista View,Nathalis iole,Spermacoce verticillata,Spermacoce verticillata | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Vista View,Apis mellifera,Phyla nodiflora,Phyla nodiflora | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Vista View,Apis mellifera,Bidens alba,Bidens alba | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Fiery Skipper,Lepidoptera,Hesperiidae,Hylephila,phyleus,,Vista View,Hylephila phyleus,Bidens alba,Bidens alba | Hylephila phyleus,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,Vista View,Pyrausta tyralis,Spermacoce verticillata,Spermacoce verticillata | Pyrausta tyralis,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,Vista View,Halictus poeyi,Bidens alba,Bidens alba | Halictus poeyi,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Vista View,Nathalis iole,Bidens alba,Bidens alba | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Common Fanpetals,Malvales,Malvaceae,Sida,ulmifolia,Barred Yellow,Lepidoptera,Pieridae,Eurema,daira,,Vista View,Eurema daira,Sida ulmifolia,Sida ulmifolia | Eurema daira,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Phaon Crescent ,Lepidoptera,Nymphalidae,Phyciodes,phaon,,Vista View,Phyciodes phaon,Spermacoce verticillata,Spermacoce verticillata | Phyciodes phaon,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Vista View,Nathalis iole,Phyla nodiflora,Phyla nodiflora | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Vista View,Apis mellifera,Bidens alba,Bidens alba | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Vista View,Apis mellifera,Spermacoce verticillata,Spermacoce verticillata | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Virginia Pepperweed,Brassicales,Brassicaceae,Lepidium,virginicum,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,Vista View,Pyrausta tyralis,Lepidium virginicum,Lepidium virginicum | Pyrausta tyralis,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Vista View,Nathalis iole,Bidens alba,Bidens alba | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Vista View,Nathalis iole,Spermacoce verticillata,Spermacoce verticillata | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Great Southern White,Lepidoptera,Pieridae,Ascia,monuste,,Vista View,Ascia monuste,Spermacoce verticillata,Spermacoce verticillata | Ascia monuste,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,Vista View,Halictus poeyi,Bidens alba,Bidens alba | Halictus poeyi,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Vista View,Nathalis iole,Spermacoce verticillata,Spermacoce verticillata | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Barred Yellow,Lepidoptera,Pieridae,Eurema,daira,,Highlands Scrub,Eurema daira,Bidens alba,Bidens alba | Eurema daira,Sand Pine Scrub,Scrub,Low human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Gulf Fritillary,Lepidoptera,Nymphalidae,Dione ,vanillae,,Highlands Scrub,Dione  vanillae,Bidens alba,Bidens alba | Dione  vanillae,Sand Pine Scrub,Scrub,Low human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Chrysanthrax cypris,Diptera,Bombyliidae,Chrysanthrax,cypris,,Highlands Scrub,Chrysanthrax cypris,Spermacoce verticillata,Spermacoce verticillata | Chrysanthrax cypris,Sand Pine Scrub,Scrub,Low human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,Highlands Scrub,Halictus poeyi,Bidens alba,Bidens alba | Halictus poeyi,Sand Pine Scrub,Scrub,Low human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Gulf Fritillary,Lepidoptera,Nymphalidae,Dione ,vanillae,,Highlands Scrub,Dione  vanillae,Bidens alba,Bidens alba | Dione  vanillae,Sand Pine Scrub,Scrub,Low human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,White Peacock,Lepidoptera,Nymphalidae,Anartia,jatrophae,,Quiet Waters,Anartia jatrophae,Phyla nodiflora,Phyla nodiflora | Anartia jatrophae,Disturbed Edge,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,Quiet Waters,Halictus poeyi,Phyla nodiflora,Phyla nodiflora | Halictus poeyi,Disturbed Edge,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Poecilanthrax lucifer,Diptera,Bombyliidae,Poecilanthrax,lucifer,,Quiet Waters,Poecilanthrax lucifer,Spermacoce verticillata,Spermacoce verticillata | Poecilanthrax lucifer,Disturbed Edge,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Quiet Waters,Apis mellifera,Phyla nodiflora,Phyla nodiflora | Apis mellifera,Disturbed Edge,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Quiet Waters,Apis mellifera,Spermacoce verticillata,Spermacoce verticillata | Apis mellifera,Disturbed Edge,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Chrysanthrax cypris,Diptera,Bombyliidae,Chrysanthrax,cypris,,Quiet Waters,Chrysanthrax cypris,Spermacoce verticillata,Spermacoce verticillata | Chrysanthrax cypris,Disturbed Edge,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Stained-glass Moth,Lepidoptera,Crambidae,Samea,castellalis,,Markham,Samea castellalis,Spermacoce verticillata,Spermacoce verticillata | Samea castellalis,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Markham,Apis mellifera,Phyla nodiflora,Phyla nodiflora | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Markham,Nathalis iole,Richardia grandiflora,Richardia grandiflora | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Markham,Nathalis iole,Bidens alba,Bidens alba | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,Markham,Nathalis iole,Phyla nodiflora,Phyla nodiflora | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Markham,Apis mellifera,Bidens alba,Bidens alba | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Orange-spotted Flower Moth,Lepidoptera,Crambidae,Syngamia,florella,,Markham,Syngamia florella,Phyla nodiflora,Phyla nodiflora | Syngamia florella,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Barred Yellow,Lepidoptera,Pieridae,Eurema,daira,,Markham,Eurema daira,Phyla nodiflora,Phyla nodiflora | Eurema daira,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Barred Yellow,Lepidoptera,Pieridae,Eurema,daira,,Markham,Eurema daira,Spermacoce verticillata,Spermacoce verticillata | Eurema daira,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Sidebeak Pencilflower,Fabales,Fabaceae,Stylosanthes,biflora,Phaon Crescent ,Lepidoptera,Nymphalidae,Phyciodes,phaon,,Markham,Phyciodes phaon,Stylosanthes biflora,Stylosanthes biflora | Phyciodes phaon,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Barred Yellow,Lepidoptera,Pieridae,Eurema,daira,,Markham,Eurema daira,Phyla nodiflora,Phyla nodiflora | Eurema daira,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Markham,Apis mellifera,Phyla nodiflora,Phyla nodiflora | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Sidebeak Pencilflower,Fabales,Fabaceae,Stylosanthes,biflora,Barred Yellow,Lepidoptera,Pieridae,Eurema,daira,,Markham,Eurema daira,Stylosanthes biflora,Stylosanthes biflora | Eurema daira,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,Markham,Apis mellifera,Spermacoce verticillata,Spermacoce verticillata | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Phaon Crescent ,Lepidoptera,Nymphalidae,Phyciodes,phaon,,Markham,Phyciodes phaon,Spermacoce verticillata,Spermacoce verticillata | Phyciodes phaon,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,White Peacock,Lepidoptera,Nymphalidae,Anartia,jatrophae,,Markham,Anartia jatrophae,Spermacoce verticillata,Spermacoce verticillata | Anartia jatrophae,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,CB Smith,Halictus poeyi,Bidens alba,Bidens alba | Halictus poeyi,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,CB Smith,Apis mellifera,Bidens alba,Bidens alba | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Fiery Skipper,Lepidoptera,Hesperiidae,Hylephila,phyleus,https://www.inaturalist.org/observations/288817225,CB Smith,Hylephila phyleus,Richardia grandiflora,Richardia grandiflora | Hylephila phyleus,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,CB Smith,Nathalis iole,Bidens alba,Bidens alba | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,CB Smith,Apis mellifera,Spermacoce verticillata,Spermacoce verticillata | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Chrysanthrax cypris,Diptera,Bombyliidae,Chrysanthrax,cypris,,CB Smith,Chrysanthrax cypris,Bidens alba,Bidens alba | Chrysanthrax cypris,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,CB Smith,Nathalis iole,Bidens alba,Bidens alba | Nathalis iole,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Phaon Crescent ,Lepidoptera,Nymphalidae,Phyciodes,phaon,,CB Smith,Phyciodes phaon,Bidens alba,Bidens alba | Phyciodes phaon,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Chrysanthrax cypris,Diptera,Bombyliidae,Chrysanthrax,cypris,,CB Smith,Chrysanthrax cypris,Phyla nodiflora,Phyla nodiflora | Chrysanthrax cypris,Open Grassy,Open Human Disturbed,High human modification,NA,NA
Largeflower Mexican Clover,Gentianales,Rubiaceae,Richardia,grandiflora,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,CB Smith,Pyrausta tyralis,Richardia grandiflora,Richardia grandiflora | Pyrausta tyralis,Open Grassy,Open Human Disturbed,High human modification,NA,NA
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,CB Smith,Apis mellifera,Bidens alba,Bidens alba | Apis mellifera,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,CB Smith,Halictus poeyi,Bidens alba,Bidens alba | Halictus poeyi,Open Grassy,Open Human Disturbed,High human modification,,Apoidea
