"Plot.Identifier","Plant.Common.Name","Plant.Order","Plant.Family","Plant.Genus","Plant.Species","Percent.Cover.Flowering","iNat.link","Plant_ID"
"CB-06","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.05,"","Spermacoce verticillata"
"CB-06","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",0.0075,"","Sida ulmifolia"
"CB-06","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.0075,"","Bidens alba"
"CB-06","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.005,"","Richardia grandiflora"
"CB-07","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.01,"","Bidens alba"
"CB-07","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"CB-07","Mexican Prickly Poppy","Ranunculales","Papaveraceae","Argemone","mexicana",0.01,"","Argemone mexicana"
"CB-08","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"CB-08","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",0.005,"","Sida ulmifolia"
"CB-08","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"CB-08","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"LK-04","Southern Swamp Crinum","Asparagales","Amaryllidaceae","Crinum","americanum ",1e-04,"","Crinum americanum "
"LK-04","Cocoplum","Malpighiales","Chrysobalanaceae","Chrysobalanus","icaco",0.01,"","Chrysobalanus icaco"
"LK-04","Herbwilliam","Apiales","Apiaceae","Ptilimnium","capillaceum",1e-04,"","Ptilimnium capillaceum"
"LK-04","St. Andrew's Cross","Malpighiales","Hypericaceae","Hypericum","hypericoides",0.01,"","Hypericum hypericoides"
"LK-04","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"LK-04","Dahoon Holly","Aquifoliales","Aquifoliaceae","Ilex","cassine",0.005,"","Ilex cassine"
"LK-04","Richard's Yellow-eyed Grass"," Poales","Xyridaceae","Xyris","jupicai",0.0075,"","Xyris jupicai"
"LK-04","Lax Hornpod","Gentianales","Loganiaceae","Mitreola","petiolata",0.0075,"","Mitreola petiolata"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.005,"","Spermacoce verticillata"
"LK-05","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.01,"","Richardia grandiflora"
"LK-05","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.01,"","Bidens alba"
"LK-05","Shiny-leaved Wild Coffee","Gentianales","Rubiaceae","Psychotria","nervosa",1e-04,"","Psychotria nervosa"
"LK-05","Knotroot Bristlegrass","Poales","Poaceae","Setaria","parviflora",0.0075,"","Setaria parviflora"
"LK-05","Painted Leaf","Malpighiales","Euphorbiaceae","Euphorbia","cyathophora",0.0075,"","Euphorbia cyathophora"
"LK-05","Creeping Woodsorrel","Oxalidales","Oxalidaceae","Oxalis","corniculata",1e-04,"","Oxalis corniculata"
"LK-06","Shiny-leaved Wild Coffee","Gentianales","Rubiaceae","Psychotria","nervosa",0.0075,"","Psychotria nervosa"
"LK-06","Pigeonberry","Caryophyllales","Petiveriaceae","Rivina","humilis",1e-04,"","Rivina humilis"
"VV-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"VV-05","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.0075,"","Bidens alba"
"VV-05","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.005,"","Phyla nodiflora"
"VV-05","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.005,"","Richardia grandiflora"
"VV-05","Big Caltrop"," Zygophyllales","Zygophyllaceae","Kallstroemia","maxima",0.005,"","Kallstroemia maxima"
"VV-05","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"VV-05","Straggler Daisy","Asterales","Asteraceae","Calyptocarpus","vialis",1e-04,"","Calyptocarpus vialis"
"VV-06","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"VV-06","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.01,"","Bidens alba"
"VV-06","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"VV-06","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.01,"","Phyla nodiflora"
"VV-06","Sanguinaria","Caryophyllales","Amaranthaceae","Alternanthera","ficoidea",1e-04,"","Alternanthera ficoidea"
"VV-06","Virginia Pepperweed","Brassicales","Brassicaceae","Lepidium","virginicum",0.01,"","Lepidium virginicum"
"VV-07","Oakleaf Fleabane","Asterales","Asteraceae","Erigeron","quercifolius",0.01,"","Erigeron quercifolius"
"VV-07","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"VV-07","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0075,"","Spermacoce verticillata"
"VV-07","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.005,"","Phyla nodiflora"
"VV-07","Broadleaf Arrowhead","Alismatales","Alismataceae","Sagittaria","latifolia",0.0075,"","Sagittaria latifolia"
"VV-07","Common Axil-Flower","Lamiales","Plantaginaceae","Mecardonia","acuminata",1e-04,"","Mecardonia acuminata"
"VV-07","Lanceleaf Arrowhead","Alismatales","Alismataceae","Sagittaria","lancifolia",1e-04,"","Sagittaria lancifolia"
"VV-08","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"VV-08","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.01,"","Richardia grandiflora"
"VV-08","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.005,"","Phyla nodiflora"
"HS-04","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.005,"","Bidens alba"
"HS-04","Showy Milkwort","Fabales","Polygalaceae","Asemeia","grandiflora",0.005,"https://www.inaturalist.org/observations/282871727","Asemeia grandiflora"
"HS-04","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.005,"","Spermacoce verticillata"
"HS-04","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"HS-04","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"HS-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.005,"","Spermacoce verticillata"
"HS-05","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"HS-06","Saw Palmetto","Arecales","Arecaceae","Serenoa","repens",1e-04,"","Serenoa repens"
"HS-06","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.005,"","Bidens alba"
"HS-06","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"HS-06","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"HS-06","Gopher Apple","Malpighiales","Chrysobalanaceae","Geobalanus","oblongifolius",0.0075,"","Geobalanus oblongifolius"
"HS-06","Madagascar Periwinkle","Gentianales","Apocynaceae","Catharanthus","roseus",0.005,"","Catharanthus roseus"
"HS-06","Whitemouth Dayflower","Commelinales","Commelinaceae","Commelina","erecta",1e-04,"","Commelina erecta"
"HS-06","Showy Milkwort","Fabales","Polygalaceae","Asemeia","",1e-04,"https://www.inaturalist.org/observations/282885936","Genus Asemeia"
"QW-09","Lanceleaf Arrowhead","Alismatales","Alismataceae","Sagittaria","lancifolia",0.01,"","Sagittaria lancifolia"
"QW-10","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"QW-10","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"QW-10","Beach Naupaka","Asterales","Goodeniaceae","Scaevola","taccada",0.005,"","Scaevola taccada"
"QW-10","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"QW-11","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.005,"","Bidens alba"
"QW-11","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"QW-11","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.01,"","Phyla nodiflora"
"QW-11","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0075,"","Richardia grandiflora"
"QW-11","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"MK-16","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"MK-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0075,"","Phyla nodiflora"
"MK-16","White Clover","Fabales","Fabaceae","Trifolium","repens",1e-04,"","Trifolium repens"
"MK-16","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/287030624","Desmodium incanum"
"MK-16","Herb-of-Grace","Lamiales","Plantaginaceae","Bacopa","monnieri",1e-04,"","Bacopa monnieri"
"MK-17","Blue Mistflower","Asterales","Asteraceae","Conoclinium","coelestinum",1e-04,"","Conoclinium coelestinum"
"MK-17","Swamp Bay","Laurales","Lauraceae","Persea","palustris",0.0075,"https://www.inaturalist.org/observations/287040409","Persea palustris"
"MK-17","Musky Mint","Lamiales","Lamiaceae","Hyptis","alata",1e-04,"","Hyptis alata"
"MK-18","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0075,"","Richardia grandiflora"
"MK-18","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0075,"","Phyla nodiflora"
"MK-18","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0075,"","Spermacoce verticillata"
"MK-18","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"MK-18","Knotroot Bristlegrass","Poales","Poaceae","Setaria","parviflora",1e-04,"https://www.inaturalist.org/observations/287047614","Setaria parviflora"
"MK-18","White Moneywort","Fabales","Fabaceae","Alysicarpus","vaginalis",1e-04,"","Alysicarpus vaginalis"
"MK-20","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"MK-20","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0075,"","Phyla nodiflora"
"MK-20","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"MK-20","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"MK-20","White Moneywort","Fabales","Fabaceae","Alysicarpus","vaginalis",1e-04,"","Alysicarpus vaginalis"
"MK-20","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"MK-20","Straggler Daisy","Asterales","Asteraceae","Calyptocarpus","vialis",1e-04,"","Calyptocarpus vialis"
"MK-20","Sidebeak Pencilflower","Fabales","Fabaceae","Stylosanthes","biflora",1e-04,"https://www.inaturalist.org/observations/287067939","Stylosanthes biflora"
"MK-20","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/287065092","Desmodium incanum"
"MK-20","Virginia Pepperweed","Brassicales","Brassicaceae","Lepidium","virginicum",1e-04,"","Lepidium virginicum"
"CB-09","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0075,"","Spermacoce verticillata"
"CB-10","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.0075,"","Bidens alba"
"CB-10","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0075,"","Richardia grandiflora"
"CB-10","Sidebeak Pencilflower","Fabales","Fabaceae","Stylosanthes","biflora",0.0075,"https://www.inaturalist.org/observations/287098906","Stylosanthes biflora"
"CB-10","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"CB-10","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"CB-10","Asthma Plant","Malpighiales","Euphorbiaceae","Euphorbia","hirta",1e-04,"","Euphorbia hirta"
"CB-10","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/287100504","Desmodium incanum"
"CB-11","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.005,"","Spermacoce verticillata"
"CB-11","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"CB-11","Creeping Indigo","Fabales","Fabaceae","Indigofera","spicata",1e-04,"","Indigofera spicata"
"CB-12","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.0075,"","Bidens alba"
"CB-12","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"CB-12","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"CB-12","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"HS-07","Hog Plum","Santalales","Olacaceae","Ximenia","americana",1e-04,"","Ximenia americana"
"HS-08","Erect Pricklypear","Caryophyllales","Cactaceae","Opuntia","dillenii",0.0025,"","Opuntia dillenii"
"HS-08","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"HS-08","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/288201150","Desmodium incanum"
"HS-08","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",1e-04,"","Sphagneticola trilobata"
"HS-08","Gopher Apple","Malpighiales","Chrysobalanaceae","Geobalanus","oblongifolius",1e-04,"","Geobalanus oblongifolius"
"HS-08","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"HS-09","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0025,"","Richardia grandiflora"
"HS-09","Gopher Apple","Malpighiales","Chrysobalanaceae","Geobalanus","oblongifolius",0.0025,"","Geobalanus oblongifolius"
"HS-09","October Flower","Caryophyllales","Polygonaceae","Polygonella","polygama",1e-04,"","Polygonella polygama"
"HS-09","Diacrodon compressus","Gentianales","Rubiaceae","Diacrodon","compressus",1e-04,"https://www.inaturalist.org/observations/288217900","Diacrodon compressus"
"MT-07","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"MT-07","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"MT-07","Bitter Melon","Cucurbitales","Cucubitaceae","Momordica","charantia",1e-04,"","Momordica charantia"
"MT-07","Lilac Tasselflower","Asterales","Asteraceae","Emilia","sonchifolia",1e-04,"","Emilia sonchifolia"
"MT-08","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.0075,"","Bidens alba"
"MT-08","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"MT-08","Lilac Tasselflower","Asterales","Asteraceae","Emilia","sonchifolia",0.0025,"","Emilia sonchifolia"
"MT-08","Red Tasselflower","Asterales","Asteraceae","Emilia","fosbergii",1e-04,"","Emilia fosbergii"
"MT-09","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"VV-09","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0075,"","Phyla nodiflora"
"VV-09","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"VV-09","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0075,"","Spermacoce verticillata"
"VV-09","Blue Mistflower","Asterales","Asteraceae","Conoclinium","coelestinum",1e-04,"","Conoclinium coelestinum"
"VV-09","American Black Nightshade","Solanales","Solanaceae","Solanum","americanum ",1e-04,"https://www.inaturalist.org/observations/290118380","Solanum americanum "
"VV-09","Royal Palm","Arecales","Arecaceae","Roystonea","regia",0.005,"https://www.inaturalist.org/observations/290119315","Roystonea regia"
"VV-09","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/290123115","Desmodium incanum"
"VV-09","Cigar Plants and Allies","Myrtales","Lythraceae","Cuphea","",1e-04,"https://www.inaturalist.org/observations/290123378","Genus Cuphea"
"VV-10","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"VV-10","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0025,"","Phyla nodiflora"
"VV-10","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"VV-10","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"VV-11","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0075,"","Richardia grandiflora"
"VV-11","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0075,"","Phyla nodiflora"
"VV-11","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"VV-11","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"VV-11","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/290142984","Desmodium incanum"
"VV-11","Cigar Plants and Allies","Myrtales","Lythraceae","Cuphea","",1e-04,"https://www.inaturalist.org/observations/290145021","Genus Cuphea"
"VV-11","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"VV-12","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"VV-12","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"VV-12","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"all fried/crunchy ","Spermacoce verticillata"
"VV-12","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"VV-12","Santa Maria Feverfew","Asterales","Asteraceae","Parthenium","hysterophorus",0.0025,"","Parthenium hysterophorus"
"LK-07","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"LK-07","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"LK-07","Roadside Sandmat","Malpighiales","Euphorbiaceae","Euphorbia","lasiocarpa",1e-04,"https://www.inaturalist.org/observations/290174434","Euphorbia lasiocarpa"
"LK-07","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"LK-07","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"LK-07","Southern Beeblossom","Myrtales","Onagraceae","Oenothera","simulans",1e-04,"","Oenothera simulans"
"LK-07","Painted Leaf","Malpighiales","Euphorbiaceae","Euphorbia","cyathophora",1e-04,"","Euphorbia cyathophora"
"LK-07","Madagascar Periwinkle","Gentianales","Apocynaceae","Catharanthus","roseus",1e-04,"","Catharanthus roseus"
"LK-08","Guinea Hen Weed","Caryophyllales","Petiveriaceae","Petiveria","alliacea",1e-04,"","Petiveria alliacea"
"LK-08","Shiny-leaved Wild Coffee","Gentianales","Rubiaceae","Psychotria","nervosa",1e-04,"","Psychotria nervosa"
"LK-09","Shiny-leaved Wild Coffee","Gentianales","Rubiaceae","Psychotria","nervosa",0.0075,"","Psychotria nervosa"
"QW-13","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"QW-13","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",0.01,"","Sphagneticola trilobata"
"QW-13","Santa Maria Feverfew","Asterales","Asteraceae","Parthenium","hysterophorus",1e-04,"","Parthenium hysterophorus"
"QW-13","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"QW-13","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"QW-13","Creeping Indigo","Fabales","Fabaceae","Indigofera","spicata",1e-04,"","Indigofera spicata"
"QW-13","Browne's Blechum","Lamiales","Acanthaceae","Ruellia","blechum ",1e-04,"","Ruellia blechum "
"QW-13","Wax-leaf Ligustrum","Lamiales","Oleaceae","Ligustrum","japonicum ",0.01,"https://www.inaturalist.org/observations/292863103","Ligustrum japonicum "
"QW-14","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"","Desmodium incanum"
"QW-14","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"QW-14","Straggler Daisy","Asterales","Asteraceae","Calyptocarpus","vialis",1e-04,"https://www.inaturalist.org/observations/292869053","Calyptocarpus vialis"
"QW-14","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"QW-14","Lilac Tasselflower","Asterales","Asteraceae","Emilia","sonchifolia",1e-04,"","Emilia sonchifolia"
"QW-14","Caribbean Stylo","Fabales","Fabaceae","Stylosanthes","hamata",1e-04,"https://www.inaturalist.org/observations/292870610","Stylosanthes hamata"
"QW-14","Gomphrena Weed","Caryophyllales","Amaranthaceae","Gomphrena","serrata",1e-04,"","Gomphrena serrata"
"QW-15","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"QW-15","Madagascar Periwinkle","Gentianales","Apocynaceae","Catharanthus","roseus",0.05,"","Catharanthus roseus"
"QW-15","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"QW-15","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"QW-15","Oceanblue Morning Glory","Solanales","Convolvulaceae","Ipomoea","indica",1e-04,"","Ipomoea indica"
"QW-16","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.05,"","Richardia grandiflora"
"QW-16","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.01,"","Bidens alba"
