"Plot.Identifier","Plant.Common.Name","Plant.Order","Plant.Family","Plant.Genus","Plant.Species","Insect.Common.Name","Insect.Order","Insect.Family","Insect.Genus","Insect.Species","Notes","iNat.Link","Second.iNat.link","Park.Name","Month","Year","Insect_ID","Plant_ID","Interaction.ID","Habitat.Type","Habitat.Category","Park.Type","Insect_Status","Plant_Status","Interaction.Status.ID"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Markham","May",2025,"Apis mellifera","Bidens alba","Bidens alba | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"MK-12","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Markham","May",2025,"Halictus poeyi","Spermacoce verticillata","Spermacoce verticillata | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"MK-12","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Markham","May",2025,"Apis mellifera","Spermacoce verticillata","Spermacoce verticillata | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Non-native","Non-native | Non-native"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Leafcutter, Mortar, and Resin Bees","Hymenoptera","Megachilidae","Megachile","","check id on iNat"," https://www.inaturalist.org/observations/280601381","","Markham","May",2025,"Genus Megachile","Bidens alba","Bidens alba | Genus Megachile","Open Grassy","Open Human Disturbed","High human modification","Unknown","Native","Native | Unknown"
"MK-12","Oakleaf Fleabane","Asterales","Asteraceae","Erigeron","quercifolius","Leafcutter, Mortar, and Resin Bees","Hymenoptera","Megachilidae","Megachile","","check id on iNat"," https://www.inaturalist.org/observations/280601381","","Markham","May",2025,"Genus Megachile","Erigeron quercifolius","Erigeron quercifolius | Genus Megachile","Open Grassy","Open Human Disturbed","High human modification","Unknown","Native","Native | Unknown"
"MK-12","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Leafcutter, Mortar, and Resin Bees","Hymenoptera","Megachilidae","Megachile","","check id on iNat"," https://www.inaturalist.org/observations/280601381","","Markham","May",2025,"Genus Megachile","Spermacoce verticillata","Spermacoce verticillata | Genus Megachile","Open Grassy","Open Human Disturbed","High human modification","Unknown","Non-native","Non-native | Unknown"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Chrysanthrax cypris","Diptera","Bombyliidae","Chrysanthrax","cypris","","","","Markham","May",2025,"Chrysanthrax cypris","Bidens alba","Bidens alba | Chrysanthrax cypris","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"MK-12","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","","","","Markham","May",2025,"Pyrausta tyralis","Spermacoce verticillata","Spermacoce verticillata | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Fiery Skipper","Lepidoptera","Hesperiidae","Hylephila","phyleus","","","","Markham","May",2025,"Hylephila phyleus","Bidens alba","Bidens alba | Hylephila phyleus","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"MK-12","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Markham","May",2025,"Halictus poeyi","Phyla nodiflora","Phyla nodiflora | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"MK-12","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Three-banded Scoliid Wasp","Hymenoptera","Scoliidae","Dielis","trifasciata","","https://www.inaturalist.org/observations/284922973","","Markham","May",2025,"Dielis trifasciata","Spermacoce verticillata","Spermacoce verticillata | Dielis trifasciata","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Double-banded Plushback","Diptera","Syrphidae","Palpada","agrorum","","https://www.inaturalist.org/observations/280601383","","Markham","May",2025,"Palpada agrorum","Bidens alba","Bidens alba | Palpada agrorum","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Three-banded Scoliid Wasp","Hymenoptera","Scoliidae","Dielis","trifasciata","","https://www.inaturalist.org/observations/280601346","","Markham","May",2025,"Dielis trifasciata","Bidens alba","Bidens alba | Dielis trifasciata","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Stained-glass Moth","Lepidoptera","Crambidae","Samea","castellalis","","","","Markham","May",2025,"Samea castellalis","Bidens alba","Bidens alba | Samea castellalis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"MK-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Great Southern White","Lepidoptera","Pieridae","Ascia","monuste","","","","Markham","May",2025,"Ascia monuste","Bidens alba","Bidens alba | Ascia monuste","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"MK-15","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Great Southern White","Lepidoptera","Pieridae","Ascia","monuste","","","","Markham","May",2025,"Ascia monuste","Richardia grandiflora","Richardia grandiflora | Ascia monuste","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"MK-15","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Markham","May",2025,"Apis mellifera","Spermacoce verticillata","Spermacoce verticillata | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Non-native","Non-native | Non-native"
"CB-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","CB Smith","May",2025,"Nathalis iole","Bidens alba","Bidens alba | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"CB-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","CB Smith","May",2025,"Nathalis iole","Spermacoce verticillata","Spermacoce verticillata | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"CB-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Fiery Skipper","Lepidoptera","Hesperiidae","Hylephila","phyleus","","","","CB Smith","May",2025,"Hylephila phyleus","Bidens alba","Bidens alba | Hylephila phyleus","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"CB-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","saw an eastern giant swallowtail; it didn't land on any flowers","","","CB Smith","May",2025,"Pyrausta tyralis","Bidens alba","Bidens alba | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"CB-06","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","CB Smith","May",2025,"Apis mellifera","Spermacoce verticillata","Spermacoce verticillata | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Non-native","Non-native | Non-native"
"CB-06","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","CB Smith","May",2025,"Nathalis iole","Spermacoce verticillata","Spermacoce verticillata | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"CB-06","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","CB Smith","May",2025,"Apis mellifera","Bidens alba","Bidens alba | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"CB-06","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","CB Smith","May",2025,"Nathalis iole","Bidens alba","Bidens alba | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"CB-07","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","CB Smith","May",2025,"Nathalis iole","Bidens alba","Bidens alba | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"CB-07","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","CB Smith","May",2025,"Apis mellifera","Bidens alba","Bidens alba | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"CB-07","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Chrysanthrax cypris","Diptera","Bombyliidae","Chrysanthrax","cypris","","","","CB Smith","May",2025,"Chrysanthrax cypris","Spermacoce verticillata","Spermacoce verticillata | Chrysanthrax cypris","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"LK-04","St. Andrew's Cross","Malpighiales","Hypericaceae","Hypericum","hypericoides","Bow-shaped Calligrapher","Diptera","Syrphidae","Toxomerus","arcifer","","","","Long Key","May",2025,"Toxomerus arcifer","Hypericum hypericoides","Hypericum hypericoides | Toxomerus arcifer","Ephemeral Wetland","Wetland","Low human modification","Native","Native","Native | Native"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Physoconops floridanus","Diptera","Conopidae","Physoconops","floridanus","","https://www.inaturalist.org/observations/282490344","","Long Key","May",2025,"Physoconops floridanus","Spermacoce verticillata","Spermacoce verticillata | Physoconops floridanus","Open Grassy","Open Human Disturbed","Low human modification","Native","Non-native","Non-native | Native"
"LK-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Striped Sweat Bees","Hymenoptera","Halictidae","Agapostemon","","check on iNat","https://www.inaturalist.org/observations/282490349","","Long Key","May",2025,"Genus Agapostemon","Bidens alba","Bidens alba | Genus Agapostemon","Open Grassy","Open Human Disturbed","Low human modification","Unknown","Native","Native | Unknown"
"LK-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Bow-shaped Calligrapher","Diptera","Syrphidae","Toxomerus","arcifer","","https://www.inaturalist.org/observations/282398854","","Long Key","May",2025,"Toxomerus arcifer","Bidens alba","Bidens alba | Toxomerus arcifer","Open Grassy","Open Human Disturbed","Low human modification","Native","Native","Native | Native"
"LK-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","New World Banded Thynnid Wasps","Hymenoptera","Thynnidae","Myzinum","","","https://www.inaturalist.org/observations/283008583","","Long Key","May",2025,"Genus Myzinum","Bidens alba","Bidens alba | Genus Myzinum","Open Grassy","Open Human Disturbed","Low human modification","Unknown","Native","Native | Unknown"
"LK-05","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Orange-spotted Flower Moth","Lepidoptera","Crambidae","Syngamia","florella","","","","Long Key","May",2025,"Syngamia florella","Richardia grandiflora","Richardia grandiflora | Syngamia florella","Open Grassy","Open Human Disturbed","Low human modification","Native","Non-native","Non-native | Native"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Bow-shaped Calligrapher","Diptera","Syrphidae","Toxomerus","arcifer","","","","Long Key","May",2025,"Toxomerus arcifer","Spermacoce verticillata","Spermacoce verticillata | Toxomerus arcifer","Open Grassy","Open Human Disturbed","Low human modification","Native","Non-native","Non-native | Native"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Gonia crassicornis","Diptera","Tachinidae","Gonia","crassicornis","check id on iNat","https://www.inaturalist.org/observations/282490350","","Long Key","May",2025,"Gonia crassicornis","Spermacoce verticillata","Spermacoce verticillata | Gonia crassicornis","Open Grassy","Open Human Disturbed","Low human modification","Native","Non-native","Non-native | Native"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Leafcutter, Mortar, and Resin Bees","Hymenoptera","Megachilidae","Megachile","","check id on iNat","https://www.inaturalist.org/observations/286619067","","Long Key","May",2025,"Genus Megachile","Spermacoce verticillata","Spermacoce verticillata | Genus Megachile","Open Grassy","Open Human Disturbed","Low human modification","Unknown","Non-native","Non-native | Unknown"
"LK-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Leafcutter, Mortar, and Resin Bees","Hymenoptera","Megachilidae","Megachile","","check id on iNat","https://www.inaturalist.org/observations/286619067","","Long Key","May",2025,"Genus Megachile","Bidens alba","Bidens alba | Genus Megachile","Open Grassy","Open Human Disturbed","Low human modification","Unknown","Native","Native | Unknown"
"LK-05","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Gulf Fritillary","Lepidoptera","Nymphalidae","Dione ","vanillae","","","","Long Key","May",2025,"Dione  vanillae","Richardia grandiflora","Richardia grandiflora | Dione  vanillae","Open Grassy","Open Human Disturbed","Low human modification","Native","Non-native","Non-native | Native"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Hunter's Little Paper Wasp","Hymenoptera","Vespidae","Polistes","dorsalis","check id on iNat","https://www.inaturalist.org/observations/283008586","","Long Key","May",2025,"Polistes dorsalis","Spermacoce verticillata","Spermacoce verticillata | Polistes dorsalis","Open Grassy","Open Human Disturbed","Low human modification","Native","Non-native","Non-native | Native"
"LK-05","Painted Leaf ","Malpighiales","Euphorbiaceae","Euphorbia","cyathophora","Hunter's Little Paper Wasp","Hymenoptera","Vespidae","Polistes","dorsalis","check id on iNat","https://www.inaturalist.org/observations/283008586","","Long Key","May",2025,"Polistes dorsalis","Euphorbia cyathophora","Euphorbia cyathophora | Polistes dorsalis","Open Grassy","Open Human Disturbed","Low human modification","Native","Native","Native | Native"
"LK-05","Knotroot Bristlegrass","Poales","Poaceae","Setaria","parviflora","Yellow-legged Mud-dauber Wasp","Hymenoptera","Sphecidae","Sceliphron","caementarium","check id on iNat","https://www.inaturalist.org/taxa/121821-Sceliphron-caementarium","","Long Key","May",2025,"Sceliphron caementarium","Setaria parviflora","Setaria parviflora | Sceliphron caementarium","Open Grassy","Open Human Disturbed","Low human modification","Native","Native","Native | Native"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Yellow-legged Mud-dauber Wasp","Hymenoptera","Sphecidae","Sceliphron","caementarium","check id on iNat","https://www.inaturalist.org/taxa/121821-Sceliphron-caementarium","","Long Key","May",2025,"Sceliphron caementarium","Spermacoce verticillata","Spermacoce verticillata | Sceliphron caementarium","Open Grassy","Open Human Disturbed","Low human modification","Native","Non-native","Non-native | Native"
"LK-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Yellow-legged Mud-dauber Wasp","Hymenoptera","Sphecidae","Sceliphron","caementarium","check id on iNat","https://www.inaturalist.org/taxa/121821-Sceliphron-caementarium","","Long Key","May",2025,"Sceliphron caementarium","Bidens alba","Bidens alba | Sceliphron caementarium","Open Grassy","Open Human Disturbed","Low human modification","Native","Native","Native | Native"
"LK-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Polistes major ssp. major","Hymenoptera","Vespidae","Polistes","major ssp. major","check id on iNat","https://www.inaturalist.org/observations/282490357","","Long Key","May",2025,"Polistes major ssp. major","Bidens alba","Bidens alba | Polistes major ssp. major","Open Grassy","Open Human Disturbed","Low human modification",NA,"Native","Native | NA"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","New World Banded Thynnid Wasps","Hymenoptera","Thynnidae","Myzinum","","","https://www.inaturalist.org/observations/283008583","","Long Key","May",2025,"Genus Myzinum","Spermacoce verticillata","Spermacoce verticillata | Genus Myzinum","Open Grassy","Open Human Disturbed","Low human modification","Unknown","Non-native","Non-native | Unknown"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Ammophila pictipennis","Hymenoptera","Sphecidae","Ammophila","pictipennis","check id on iNat","https://www.inaturalist.org/observations/283008584","","Long Key","May",2025,"Ammophila pictipennis","Spermacoce verticillata","Spermacoce verticillata | Ammophila pictipennis","Open Grassy","Open Human Disturbed","Low human modification","Native","Non-native","Non-native | Native"
"LK-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Polistes major ssp. major","Hymenoptera","Vespidae","Polistes","major ssp. major","check id on iNat","https://www.inaturalist.org/observations/282490357","","Long Key","May",2025,"Polistes major ssp. major","Spermacoce verticillata","Spermacoce verticillata | Polistes major ssp. major","Open Grassy","Open Human Disturbed","Low human modification",NA,"Non-native","Non-native | NA"
"VV-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","","","","Vista View","May",2025,"Pyrausta tyralis","Bidens alba","Bidens alba | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","May",2025,"Apis mellifera","Spermacoce verticillata","Spermacoce verticillata | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Non-native","Non-native | Non-native"
"VV-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","Vista View","May",2025,"Nathalis iole","Spermacoce verticillata","Spermacoce verticillata | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-05","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","May",2025,"Apis mellifera","Phyla nodiflora","Phyla nodiflora | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"VV-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","May",2025,"Apis mellifera","Bidens alba","Bidens alba | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"VV-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Fiery Skipper","Lepidoptera","Hesperiidae","Hylephila","phyleus","","","","Vista View","May",2025,"Hylephila phyleus","Bidens alba","Bidens alba | Hylephila phyleus","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","","","","Vista View","May",2025,"Pyrausta tyralis","Spermacoce verticillata","Spermacoce verticillata | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Vista View","May",2025,"Halictus poeyi","Bidens alba","Bidens alba | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-05","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","Vista View","May",2025,"Nathalis iole","Bidens alba","Bidens alba | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-05","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia","Barred Yellow","Lepidoptera","Pieridae","Eurema","daira","","","","Vista View","May",2025,"Eurema daira","Sida ulmifolia","Sida ulmifolia | Eurema daira","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-05","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Phaon Crescent ","Lepidoptera","Nymphalidae","Phyciodes","phaon","","","","Vista View","May",2025,"Phyciodes phaon","Spermacoce verticillata","Spermacoce verticillata | Phyciodes phaon","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-06","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","Vista View","May",2025,"Nathalis iole","Phyla nodiflora","Phyla nodiflora | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-06","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","May",2025,"Apis mellifera","Bidens alba","Bidens alba | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"VV-06","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","May",2025,"Apis mellifera","Spermacoce verticillata","Spermacoce verticillata | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Non-native","Non-native | Non-native"
"VV-06","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Plushback Flies","Diptera","Syrphidae","Palpada","","","","","Vista View","May",2025,"Genus Palpada","Bidens alba","Bidens alba | Genus Palpada","Open Grassy","Open Human Disturbed","High human modification","Unknown","Native","Native | Unknown"
"VV-06","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Genus Anomalon","Hymenoptera","Ichneumonidae","Anomalon","","check id on iNat, check pollinator status","https://www.inaturalist.org/observations/286634862","","Vista View","May",2025,"Genus Anomalon","Bidens alba","Bidens alba | Genus Anomalon","Open Grassy","Open Human Disturbed","High human modification","Unknown","Native","Native | Unknown"
"VV-06","Virginia Pepperweed","Brassicales","Brassicaceae","Lepidium","virginicum","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","","","","Vista View","May",2025,"Pyrausta tyralis","Lepidium virginicum","Lepidium virginicum | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
