Park Name,Plot Identifier,Date,Day,Month,Year,Start Time,End Time,Latitude,Longitude,Observer,Temperature,Wind Speed,Habitat Type,Cloud Cover,Notes,Percent Canopy Cover
Military Trail,MT-01,4/24/2025,24,April,2025,8:47:00,9:02:00,26.28746,-80.134,Marina/Nina,77,11,Disturbed Edge,Sunny,shaded but still open canopy,0
Military Trail,MT-02,4/24/2025,24,April,2025,9:16:00,9:47:00,26.28756,-80.1326,Marina/Nina,77,14,Sand Pine Scrub,Sunny,habitat clearing in pine forest,0
Military Trail,MT-03,4/24/2025,24,April,2025,10:15:00,10:48:00,26.286329,-80.1346,Marina/Nina,79,13,Scrubby Flatwoods,Sunny,Thick understory,0
Quiet Waters,QW-05,4/24/2025,24,April,2025,12:21:00,12:43:00,26.30737,-80.156,Marina/Nina,82,12,Open Grassy,Mostly Sunny,,0
Quiet Waters,QW-06,4/24/2025,24,April,2025,13:21:00,13:48:00,26.31181,-80.1580196,Marina/Nina,83,12,Ephemeral Wetland,Mostly Sunny,dry isolated wetland,0.5
Quiet Waters,QW-07,4/24/2025,24,April,2025,14:05:00,14:30:00,26.31698,-80.1637,Marina/Nina,83,11,Open Grassy,Partly Cloudy,so much horse poop on this site,0
Quiet Waters,QW-08,4/24/2025,24,April,2025,14:38:00,14:57:00,26.31654,-80.1641,Marina/Nina,83,12,Open Grassy,Partly Cloudy,,0
Military Trail,MT-04,5/7/2025,7,May,2025,8:54:00,9:20:00,26.28713,-80.135,Marina/Jimmy,78,8,Oak Dominated Scrub,Sunny,,0
Military Trail,MT-05,5/7/2025,7,May,2025,9:47:00,10:00:00,26.28755,-80.1319,Marina/Jimmy,81,9,Sand Pine Scrub,Sunny,,0.8
Military Trail,MT-06,5/7/2025,7,May,2025,10:23:00,10:46:00,26.2868,-80.1342,Marina/Jimmy,81,10,Oak Dominated Scrub,Sunny,,0.05
Helene Klein,HK-04,5/7/2025,7,May,2025,11:30:00,11:50:00,26.31814,-80.1887,Marina/Jimmy,84,7,Pine Flatwoods,Sunny,,0.3
Helene Klein,HK-05,5/7/2025,7,May,2025,12:12:00,12:22:00,26.3181,-80.1891,Marina/Jimmy,85,10,Pine Flatwoods,Sunny,creeping cucumber visited by Zebra longwing near plot ,0.6
Helene Klein,HK-06,5/7/2025,7,May,2025,12:44:00,12:54:00,26.31912,-80.189,Marina/Jimmy,86,9,Pine Flatwoods,Sunny,Carpenter ants on Serenoa repens,0.6
Markham,MK-11,5/8/2025,8,May,2025,8:48:00,9:06:00,26.1282,-80.3544,Marina/Nina,77,4,Open Grassy,Partly Cloudy,,0
Markham,MK-12,5/8/2025,8,May,2025,9:29:00,10:46:00,26.1247,-80.35,Marina/Nina,80,6,Open Grassy,Partly Cloudy,,0
Markham,MK-13,5/8/2025,8,May,2025,11:18:00,11:28:00,26.1338,-80.35627,Marina/Nina,85,5,Australian Pine Forest,Sunny,hammock/australian pine mix forest,0.4
Markham,MK-14,5/8/2025,8,May,2025,11:33:00,11:43:00,26.1332,-80.3564,Marina/Nina,86,5,Australian Pine Forest,Sunny,hammock/australian pine mix forest,0.85
Markham,MK-15,5/8/2025,8,May,2025,12:12:00,12:23:00,26.12783,-80.3595,Marina/Nina,87,5,Open Grassy,Sunny,,0
CB Smith,CB-05,5/8/2025,8,May,2025,13:12:00,13:26:00,26.01697,-80.3149,Marina/Nina,90,5,Open Grassy,Sunny,,0
CB Smith,CB-06,5/8/2025,8,May,2025,13:41:00,13:54:00,26.01195,-80.3179,Marina/Nina,90,9,Open Grassy,Sunny,,0
CB Smith,CB-07,5/8/2025,8,May,2025,14:05:00,14:15:00,26.01817,-80.315,Marina/Nina,90,9,Open Grassy,Sunny,,0
CB Smith,CB-08,5/8/2025,8,May,2025,14:27:00,14:37:00,26.0146,-80.315,Marina/Nina,90,9,Open Grassy,Sunny,,0.05
Long Key,LK-04,5/19/2025,19,May,2025,9:45:00,10:05:00,26.07699,-80.3252,Marina/Nina/Jimmy,84,4,Ephemeral Wetland,Partly Cloudy,,0.05
Long Key,LK-05,5/19/2025,19,May,2025,10:25:00,11:40:00,26.07594,-80.3228,Marina/Nina/Jimmy,87,4,Open Grassy,Mostly Sunny,disturbed area,0
Long Key,LK-06,5/19/2025,19,May,2025,11:53:00,12:03:00,26.07387,-80.325,Marina/Nina/Jimmy,89,3,Hammock,Mostly Sunny,,0.95
Vista View,VV-05,5/19/2025,19,May,2025,12:52:00,13:32:00,26.06925,-80.3426,Marina/Nina/Jimmy,90,4,Open Grassy,Sunny,,0
Vista View,VV-06,5/19/2025,19,May,2025,13:45:00,14:13:00,26.0684,-80.3444,Marina/Nina/Jimmy,91,6,Open Grassy,Sunny,,0
Vista View,VV-07,5/19/2025,19,May,2025,14:39:00,14:53:00,26.07378,-80.3388,Marina/Nina/Jimmy,92,6,Open Grassy,Sunny,,0.1
Vista View,VV-08,5/19/2025,19,May,2025,16:15:00,16:27:00,26.06477,-80.3419,Marina/Nina,92,9,Open Grassy,Mostly Sunny,,0
Highlands Scrub,HS-04,5/21/2025,21,May,2025,8:39:00,8:49:00,26.28103,-80.1111,Marina/Nina,81,6,Sand Pine Scrub,Sunny,,0
Highlands Scrub,HS-05,5/21/2025,21,May,2025,9:07:00,9:35:00,26.28186,-80.11,Marina/Nina,83,7,Sand Pine Scrub,Sunny,,0.01
Highlands Scrub,HS-06,5/21/2025,21,May,2025,9:35:00,10:05:00,26.2824,-80.1109,Marina/Nina,84,6,Sand Pine Scrub,,,0.01
Quiet Waters,QW-09,5/21/2025,21,May,2025,10:48:00,10:59:00,26.307,-80.1582,Marina/Nina,90,6,Disturbed Edge,Sunny,marshy/water's edge,0
Quiet Waters,QW-10,5/21/2025,21,May,2025,12:14:00,12:24:00,26.31321,-80.1579,Marina/Nina,91,5,Open Grassy,Sunny,,0.2
Quiet Waters,QW-11,5/21/2025,21,May,2025,12:57:00,13:07:00,26.31175,-80.1602,Marina/Nina,92,3,Pine Flatwoods,Sunny,"forest dominated by slash pine, laurel oak, paradise tree, sweet bay, cabbage palmetto, and Ilex; on water's edge",0.9
Quiet Waters,QW-12,5/21/2025,21,May,2025,13:20:00,13:34:00,26.31507,-80.1616,Marina/Nina,93,4,Open Grassy,Sunny,,0
Markham,MK-16,6/5/2025,5,June,2025,8:42:00,8:52:00,26.1276,-80.3551,Marina/Nina,80,8,Open Grassy,Cloudy,,0
Markham,MK-17,6/5/2025,5,June,2025,9:21:00,9:32:00,26.1299,-80.3639,Marina/Nina,81,9,Hammock,Cloudy,,0.9
Markham,MK-18,6/5/2025,5,June,2025,10:01:00,10:21:00,26.1326,-80.3601,Marina/Nina,83,10,Open Grassy,Cloudy,,0
Markham,MK-19,6/5/2025,5,June,2025,10:37:00,10:48:00,26.13303,-80.3581,Marina/Nina,83,10,Australian Pine Forest,Cloudy,dominated by swamp plants and Australian pine,0.6
Markham,MK-20,6/5/2025,5,June,2025,11:13:00,12:02:00,26.1315,-80.3456,Marina/Nina,84,9,Open Grassy,Cloudy,,0
CB Smith,CB-09,6/5/2025,5,June,2025,13:13:00,13:25:00,26.01372,-80.3173,Marina/Nina,87,12,Open Grassy,Cloudy,,0.05
CB Smith,CB-10,6/5/2025,5,June,2025,13:44:00,14:14:00,26.01592,-80.316,Marina/Nina,87,11,Open Grassy,Cloudy,,0
CB Smith,CB-11,6/5/2025,5,June,2025,14:24:00,14:34:00,26.01795,-80.3151,Marina/Nina,87,10,Open Grassy,Cloudy,,0
CB Smith,CB-12,6/5/2025,5,June,2025,14:49:00,15:12:00,26.0088,-80.313,Marina/Nina,87,10,Open Grassy,Cloudy,,0.05
Highlands Scrub,HS-07,6/9/2025,9,June,2025,9:28:00,9:38:00,26.2834,-80.1097,Marina/Nina,84,8,Sand Pine Scrub,Mostly Sunny,,0
Highlands Scrub,HS-08,6/9/2025,9,June,2025,10:10:00,10:56:00,26.2817,-80.11,Marina/Nina,84,8,Disturbed Edge,Partly Cloudy,"dense undergrowth, degraded edge",0
Highlands Scrub,HS-09,6/9/2025,9,June,2025,11:14:00,11:26:00,26.2816,-80.1074,Marina/Nina,86,9,Sand Pine Scrub,Mostly Sunny,"distubed, dominated by low-lying shrub and gopher apple, Vitis rotundifolia smothering everything",0
Military Trail,MT-07,6/9/2025,9,June,2025,12:45:00,12:57:00,26.28689,-80.1355,Marina/Nina,89,10,Oak Dominated Scrub,Mostly Sunny,,0
Military Trail,MT-08,6/9/2025,9,June,2025,13:06:00,13:27:00,26.28606,-80.1347,Marina/Nina,90,11,Scrubby Flatwoods,Mostly Sunny,"degraded, overgrown with Bidens alba",0
Military Trail,MT-09,6/9/2025,9,June,2025,13:38:00,13:48:00,26.28619,-80.132,Marina/Nina,90,11,Disturbed Edge,Mostly Sunny,recent burn ,0
Vista View,VV-09,6/16/2025,16,June,2025,8:39:00,9:10:00,26.0691,-80.3406,Marina/Nina,81,5,Open Grassy,Sunny,"bordering wetland, started raining near end of sampling session",0
Vista View,VV-10,6/16/2025,16,June,2025,9:40:00,10:10:00,26.07249,-80.3411,Marina/Nina,83,6,Open Grassy,Mostly Sunny,water's edge,0.5
Vista View,VV-11,6/16/2025,16,June,2025,10:32:00,11:06:00,26.0696,-80.3461,Marina/Nina,81,11,Open Grassy,Mostly Sunny,,0
Vista View,VV-12,6/16/2025,16,June,2025,11:22:00,11:40:00,26.064,-80.3407,Marina/Nina,82,8,Open Grassy,Mostly Sunny,,0
Long Key,LK-07,6/16/2025,16,June,2025,12:49:00,13:07:00,26.07219,-80.3218,Marina/Nina,89,11,Disturbed Edge,Mostly Sunny,"disturbed, transitional zone between hammock and disturbed/concrete",0
Long Key,LK-08,6/16/2025,16,June,2025,13:39:00,13:50:00,26.0733,-80.318,Marina/Nina,90,11,Hammock,Sunny,,0.9
Long Key,LK-09,6/16/2025,16,June,2025,14:06:00,14:19:00,26.0733,-80.315,Marina/Nina,90,11,Hammock,Sunny,,0.9
Quiet Waters,QW-13,6/26/2025,26,June,2025,9:12:00,9:26:00,26.30928,-80.1537,Marina/Nina,78,11,Open Grassy,Partly Cloudy,just rained before starting sampling ,0.05
Quiet Waters,QW-14,6/26/2025,26,June,2025,9:40:00,10:01:00,26.31343,-80.1552,Marina/Nina,80,12,Open Grassy,Partly Cloudy,,0.1
Quiet Waters,QW-15,6/26/2025,26,June,2025,10:22:00,10:46:00,26.3051,-80.1574,Marina/Nina,81,9,Pine Flatwoods,Partly Cloudy,,0
Quiet Waters,QW-16,6/26/2025,26,June,2025,11:02:00,11:52:00,26.31751,-80.1668,Marina/Nina,82,10,Open Grassy,Partly Cloudy,,0.1
Helene Klein,HK-07,6/26/2025,26,June,2025,13:39:00,13:56:000,26.3911,-80.1885,Marina/Nina,84,11,Pine Flatwoods,Cloudy,historically was probably marl prarie but no longer seems to be the case,0.2
Helene Klein,HK-08,6/26/2025,26,June,2025,14:07:00,14:17:00,26.31888,-80.1874,Marina/Nina,82,10,Pine Flatwoods,Mostly Cloudy,,0.9
Helene Klein,HK-09,6/26/2025,26,June,2025,14:36:00,14:46:00,26.3179,-80.1882,Marina/Nina,85,13,Pine Flatwoods,Cloudy,,0.2
Vista View,VV-13,7/1/2025,1,July,2025,8:32:00,9:04:00,26.07328,-80.3388,Marina/Nina,80,4,Open Grassy,Cloudy,,0
Vista View,VV-14,7/1/2025,1,July,2025,9:37:00,9:58:00,26.0692,-80.3422,Marina/Nina,83,7,Open Grassy,Mostly Sunny,,0
Vista View,VV-15,7/1/2025,1,July,2025,10:18:00,10:41:00,26.0641,-80.349,Marina/Nina,85,5,Open Grassy,Partly Cloudy,,0
Vista View,VV-16,7/1/2025,1,July,2025,10:55:00,11:18:00,26.06388,-80.345,Marina/Nina,87,9,Open Grassy,Mostly Cloudy,,0
CB Smith,CB-13,7/2/2025,2,July,2025,8:36:00,8:47:00,26.01697,-80.3149,Marina/Nina,81,4,Open Grassy,Rain,drizzling ,0.1
CB Smith,CB-14,7/2/2025,2,July,2025,9:10:00,9:32:00,26.0099,-80.3128,Marina/Nina,82,4,Open Grassy,Cloudy,,0
CB Smith,CB-15,7/2/2025,2,July,2025,9:52:00,10:00:00,26.0119,-80.318,Marina/Nina,82,10,Open Grassy,Cloudy,water's edge,0
CB Smith,CB-16,7/2/2025,2,July,2025,10:20:00,10:31:00,26.0145,-80.3195,Marina/Nina,80,11,Open Grassy,Cloudy,,0
Quiet Waters,QW-17,7/7/2025,7,July,2025,9:00:00,10:12:00,26.31507,-80.1616,Marina/Nina,82,2,Open Grassy,Sunny,,0.05
Quiet Waters,QW-18,7/7/2025,7,July,2025,10:30:00,10:40:00,26.3118,-80.1595,Marina/Nina,85,4,Pine Flatwoods,Sunny,near water's edge,0.9
Quiet Waters,QW-19,7/7/2025,7,July,2025,10:51:00,11:34:00,26.31321,-80.1579,Marina/Nina,86,4,Open Grassy,Sunny,,0
Quiet Waters,QW-20,7/7/2025,7,July,2025,11:52:00,13:20:00,26.31282,-80.1593,Marina/Nina,87,5,Open Grassy,Cloudy,paused due to rain from 12:09 to 12:53,0
Military Trail,MT-10,7/7/2025,7,July,2025,13:58:00,14:12:00,26.28713,-80.135,Marina/Nina,90,8,Oak Dominated Scrub,Mostly Cloudy,,0
Military Trail,MT-11,7/7/2025,7,July,2025,14:32:00,14:57:00,26.28626,-80.1321,Marina/Nina,90,8,Disturbed Edge,Mostly Cloudy,,0
Military Trail,MT-12,7/7/2025,7,July,2025,15:03:00,15:14:00,26.28691,-80.1326,Marina/Nina,90,8,Sand Pine Scrub,Mostly Cloudy,,0.6
Helene Klein,HK-10,7/8/2025,8,July,2025,8:36:00,8:46:00,26.31793,-80.1882,Marina/Nina,80,3,Pine Flatwoods,Cloudy,,0.6
Helene Klein,HK-11,7/8/2025,8,July,2025,9:14:00,9:27:00,26.31838,-80.1876,Marina/Nina,84,3,Pine Flatwoods,Cloudy,supposed to be pine flatwoods but it's really become hammock ,0.8
Helene Klein,HK-12,7/8/2025,8,July,2025,9:36:00,9:46:00,26.31831,-80.1873,Marina/Nina,84,3,Pine Flatwoods,Cloudy,supposed to be pine flatwoods but it's really become hammock ,0.9
Highlands Scrub,HS-10,7/8/2025,8,July,2025,11:08:00,11:44:00,26.2803,-80.1093,Marina/Nina,88,6,Sand Pine Scrub,Partly Cloudy,,0
Highlands Scrub,HS-11,7/8/2025,8,July,2025,12:02:00,12:32:00,26.28186,-80.11,Marina/Nina,89,8,Sand Pine Scrub,Mostly Sunny ,,0
Highlands Scrub,HS-12,7/8/2025,8,July,2025,12:43:00,12:58:00,26.2821,-80.1107,Marina/Nina,89,8,Sand Pine Scrub,Mostly Sunny,,0
Markham,MK-21,7/28/2025,28,July,2025,8:45:00,8:55:00,26.1359,-80.3554,Marina/Nina/Levi/Sebastian/Analise/Mario,82,3,Australian Pine Forest,Sunny,,0.95
Markham,MK-22,7/28/2025,28,July,2025,9:11:00,9:31:00,26.1285,-80.3545,Marina/Nina/Levi/Sebastian/Analise/Mario,84,3,Open Grassy,Partly Cloudy,,0
Markham,MK-23,7/28/2025,28,July,2025,9:58:00,10:37:00,26.1269,-80.3512,Marina/Nina/Levi/Sebastian/Analise/Mario,85,3,Open Grassy,Cloudy,water's edge,0
Markham,MK-24,7/28/2025,28,July,2025,10:58:00,11:08:00,26.1284,-80.3474,Marina/Nina/Levi/Sebastian/Analise/Mario,88,3,Open Grassy,Cloudy,,0
Markham,MK-25,7/28/2025,28,July,2025,11:46:00,11:56:00,26.1373,-80.3451,Marina/Nina/Levi/Sebastian/Analise/Mario,90,4,Hammock,Cloudy,,0.95
Long Key,LK-10,7/28/2025,28,July,2025,13:27:00,13:37:00,26.07387,-80.325,Marina/Nina/Analise/Levi/Mario,92,9,Hammock,Mostly Cloudy,,0.95
Long Key,LK-11,7/28/2025,28,July,2025,14:02:00,14:12:00,26.07387,-80.3225,Marina/Nina/Analise/Levi/Mario,93,9,Hammock,Mostly Cloudy,near water's edge,0.7
Long Key,LK-12,7/28/2025,28,July,2025,14:47:00,14:57:00,26.0787,-80.3274,Marina/Nina/Analise/Levi/Mario,93,10,Wetland,Mostly Cloudy,,0.6
Quiet Waters,QW-21,8/13/2025,13,August,2025,9:06:00,10:04:00,26.3142,-80.1556,Marina,83,4,Open Grassy,Sunny,,0
Quiet Waters,QW-22,8/13/2025,13,August,2025,10:19:00,11:48:00,26.31687,-80.1645,Marina,86,5,Open Grassy,Partly Cloudy,,0
Quiet Waters,QW-23,8/13/2025,13,August,2025,12:10:00,12:20:00,26.3068,-80.1563,Marina,90,7,Pine Flatwoods,Mostly Cloudy,near water's edge,0.95
Quiet Waters,QW-24,8/13/2025,13,August,2025,12:31:00,12:41:00,26.3076,-80.1556,Marina,90,7,Open Grassy,Mostly Cloudy,,0.05
Military Trail,MT-13,8/13/2025,13,August,2025,13:27:00,13:45:00,26.28656,-80.1345,Marina,91,8,Scrubby Flatwoods,Mostly Cloudy,"looks to have been burned in the past few months, flowers are re-blooming after the burn",0
Military Trail,MT-14,8/13/2025,13,August,2025,13:57:00,14:07:00,26.28645,-80.1327,Marina,91,8,Sand Pine Scrub,Partly Cloudy,pine dominated scrub,0.8
Military Trail,MT-15,8/13/2025,13,August,2025,14:16:00,14:26:00,26.28729,-80.1331,Marina,91,8,Sand Pine Scrub,Mostly Cloudy,,0.05
Highlands Scrub,HS-13,8/14/2025,14,August,2025,9:04:00,9:16:00,26.28127,-80.1088,Marina/Nina,83,2,Sand Pine Scrub,Sunny,,0
Highlands Scrub,HS-14,8/14/2025,14,August,2025,9:33:00,9:45:00,26.2834,-80.1108,Marina/Nina,85,1,Sand Pine Scrub,Sunny,,0
Highlands Scrub,HS-15,8/14/2025,14,August,2025,9:59:00,10:10:00,26.28389,-80.1107,Marina/Nina,86,2,Sand Pine Scrub,Sunny,,0
Helene Klein,HK-13,8/14/2025,14,August,2025,11:43:00,11:56:00,26.31817,-80.1891,Marina/Nina,90,4,Pine Flatwoods,Sunny,,0
Helene Klein,HK-14,8/14/2025,14,August,2025,12:09:00,12:54:00,26.31881,-80.1882,Marina/Nina,90,5,Pine Flatwoods,Sunny,,0
Helene Klein,HK-15,8/14/2025,14,August,2025,13:17:00,13:17:00,26.31803,-80.1876,Marina/Nina,91,8,Pine Flatwoods,Mostly Sunny,,0.6
CB Smith,CB-17,8/15/2025,15,August,2025,9:14:00,10:25:00,26.01883,-80.315,Marina/Nina,84,4,Open Grassy,Sunny,,0
CB Smith,CB-18,8/15/2025,15,August,2025,10:43:00,10:54:00,26.01257,-80.3154,Marina/Nina,89,4,Open Grassy,Sunny,,0
CB Smith,CB-19,8/15/2025,15,August,2025,11:08:00,11:36:00,26.00929,-80.3167,Marina/Nina,89,4,Open Grassy,Sunny,,0.4
CB Smith,CB-20,8/15/2025,15,August,2025,11:48:00,12:18:00,26.01059,-80.3192,Marina/Nina,90,7,Open Grassy,Mostly Sunny,,0.05
Markham,MK-26,8/15/2025,15,August,2025,13:54:00,14:28:00,26.13549,-80.3559,Marina/Nina,93,9,Open Grassy,Mostly Cloudy,,0.05
Markham,MK-27,8/15/2025,15,August,2025,14:55:00,14:55:00,26.12949,-80.3626,Marina/Nina,93,9,Hammock,Cloudy,,0.8
Markham,MK-28,8/15/2025,15,August,2025,15:12:00,15:22:00,26.12623,-80.3564,Marina/Nina,93,9,Open Grassy,Partly Cloudy,,0
Markham,MK-29,8/15/2025,15,August,2025,15:38:00,15:54:00,26.12994,-80.3517,Marina/Nina,93,9,Open Grassy,Mostly Sunny,,0.05
Markham,MK-30,8/15/2025,15,August,2025,16:06:00,16:11:00,26.13439,-80.345,Marina/Nina,92,9,Hammock,Mostly Sunny,,0.95
Vista View,VV-17,8/18/2025,18,August,2025,9:05:00,9:08:00,26.06806,-80.3395,Marina,83,2,Open Grassy,Sunny,,0
Vista View,VV-18,8/18/2025,18,August,2025,9:28:00,11:15:00,26.07057,-80.3436,Marina,84,2,Open Grassy,Sunny,,0
Vista View,VV-19,8/18/2025,18,August,2025,11:35:00,11:45:00,26.06431,-80.3468,Marina,84,3,Open Grassy,Sunny,,0
Vista View,VV-20,8/18/2025,18,August,2025,11:57:00,12:07,26.06586,-80.3496,Marina,90,3,Open Grassy,Sunny,,0
Long Key,LK-13,8/18/2025,18,August,2025,13:16:00,13:26:00,26.07726,-80.3281,Marina,93,3,Hammock,Mostly Sunny,,0.7
Long Key,LK-14,8/18/2025,18,August,2025,13:43:00,13:53:00,26.07402,-80.3224,Marina,93,5,Hammock,Mostly Sunny,bordering water (a canal),0.6
Long Key,LK-15,8/18/2025,18,August,2025,14:35:00,15:15:00,26.07416,-80.3197,Marina,93,8,Open Grassy,Partly Cloudy,disturbed area,0
Markham,MK-31,9/11/2025,11,September,2025,9:19:00,9:30:00,26.12919,-80.3492,Marina/Nina,80,3,Hammock,Partly Cloudy,,0.8
Markham,MK-32,9/11/2025,11,September,2025,9:49:00,10:01:00,26.12765,-80.3556,Marina/Nina,82,3,Open Grassy,Mostly Sunny,,0.1
Markham,MK-33,9/11/2025,11,September,2025,10:28:00,10:29:00,26.12415,-80.3462,Marina/Nina,83,4,Australian Pine Forest,Sunny,,0.8
Markham,MK-34,9/11/2025,11,September,2025,10:43:00,11:41:00,26.1253,-80.3511,Marina/Nina,84,4,Open Grassy,Sunny,,0
Markham,MK-35,9/11/2025,11,September,2025,12:15:00,12:49:00,26.13834,-80.3521,Marina/Nina,87,5,Open Grassy,Sunny,,0
CB Smith,CB-21,9/11/2025,11,September,2025,14:04:00,14:18:00,26.01846,-80.3161,Marina/Nina,89,4,Open Grassy,Partly Cloudy,,0.05
CB Smith,CB-22,9/11/2025,11,September,2025,14:24:00,14:34:00,26.01753,-80.3153,Marina/Nina,88,5,Open Grassy,Partly Cloudy,,0
CB Smith,CB-23,9/11/2025,11,September,2025,14:49:00,15:00:00,26.01396,-80.3183,Marina/Nina,88,5,Open Grassy,Mostly Cloudy,,0
CB Smith,CB-24,9/11/2025,11,September,2025,15:17:00,15:30:00,26.01205,-80.3133,Marina/Nina,88,6,Open Grassy,Mostly Cloudy,,0.1
Helene Klein,HK-16,9/15/2025,15,September,2025,9:06:00,9:31:00,26.31849,-80.1886,Marina,78,3,Pine Flatwoods,Sunny,,0.2
Helene Klein,HK-17,9/15/2025,15,September,2025,9:47:00,10:18:00,26.31902,-80.1876,Marina,81,3,Pine Flatwoods,Sunny,,0.3
Helene Klein,HK-18,9/15/2025,15,September,2025,10:26:00,10:36:00,26.3187,-80.1874,Marina,82,3,Pine Flatwoods,Sunny,,0.5
Military Trail,MT-16,9/15/2025,15,September,2025,11:24:00,12:59:00,26.28584,-80.1348,Marina,84,4,Scrubby Flatwoods,Partly Cloudy,,0
Military Trail,MT-17,9/15/2025,15,September,2025,13:12:00,13:30:00,26.28693,-80.1345,Marina,86,5,Oak Dominated Scrub,Cloudy,,0
